Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
0.0,95.0,4.1,0.0,0.0,17.376743,12.8,40.0
1.8,95.25,4.1,0.0,0.0,17.29123,12.8,40.0
3.6,95.5,4.1,0.0,0.0,17.246723,12.8,40.0
5.4,95.75,4.1,0.0,0.0,17.064201,12.8,40.0
7.2,96.0,4.1,0.0,0.0,16.9549,12.8,40.0
7.2,96.0,4.35,0.0,0.0,16.901682,12.8,40.0
7.2,96.0,4.6,0.0,0.0,16.86123,12.8,40.0
7.2,96.0,4.85,0.0,0.0,16.825022,12.8,40.0
7.2,96.0,5.1,0.0,0.0,16.792095,12.8,40.0
7.2,96.0,4.975,0.0,0.0,16.765472,12.8,40.0
7.2,96.0,4.85,0.0,0.0,16.74432,12.8,40.0
7.2,96.0,4.725,0.0,0.0,16.726995,12.8,40.0
7.2,96.0,4.6,0.0,0.0,16.712791,12.8,40.0
7.325,95.25,4.725,0.0,0.0,16.702171,12.8,40.0
7.45,94.5,4.85,0.0,0.0,16.694801,12.8,40.0
7.575,93.75,4.975,0.0,0.0,16.690012,12.8,40.0
7.7,93.0,5.1,0.0,0.0,16.687456,12.8,40.0
7.7,93.0,5.1,0.0,0.0,16.68466,12.8,40.0
7.7,93.0,5.1,0.0,0.0,16.681581,12.8,40.0
7.7,93.0,5.1,0.0,0.0,16.67868,12.8,40.0
7.7,93.0,5.1,0.0,0.0,16.676252,12.8,40.0
7.7,93.0,5.225,0.0,0.0,16.673426,12.8,40.0
7.7,93.0,5.35,0.0,0.0,16.670254,12.8,40.0
7.7,93.0,5.475,0.0,0.0,16.66696,12.8,40.0
7.7,93.0,5.6,0.0,0.0,16.66363,12.8,40.0
7.7,93.0,5.725,0.0,0.0,16.606737,12.8,40.0
7.7,93.0,5.85,0.0,0.0,16.585424,12.8,40.0
7.7,93.0,5.975,0.0,0.0,16.576471,12.8,40.0
7.7,93.0,6.1,0.0,0.0,16.566536,12.8,40.0
7.7,93.0,6.1,0.0,0.0,18.616903,21.1,23.9
7.7,93.0,6.1,0.0,0.0,20.279116,21.1,23.9
7.7,93.0,6.1,0.0,0.0,20.912518,21.1,23.9
7.7,93.0,6.1,0.0,0.0,21.093786,21.1,23.9
7.7,93.0,6.375,0.0,11.0,21.09992,21.1,23.9
7.7,93.0,6.65,0.0,11.0,21.100096,21.1,23.9
7.7,93.0,6.925,0.0,11.0,21.100111,21.1,23.9
7.7,93.0,7.2,0.0,11.0,21.100128,21.1,23.9
7.7,93.0,7.05,0.0,11.0,21.099936,21.1,23.9
7.7,93.0,6.9,0.0,11.0,21.099854,21.1,23.9
7.7,93.0,6.75,0.0,11.0,21.09978,21.1,23.9
7.7,93.0,6.6,0.0,11.0,21.112206,21.1,23.9
7.7,93.0,6.475,0.0,11.0,21.17666,21.1,23.9
7.7,93.0,6.35,0.0,11.0,21.259932,21.1,23.9
7.7,93.0,6.225,0.0,11.0,21.339346,21.1,23.9
7.7,93.0,6.1,0.0,11.0,21.412603,21.1,23.9
7.7,93.0,6.1,0.0,8.8,21.453981,21.1,23.9
7.7,93.0,6.1,0.0,8.8,21.498367,21.1,23.9
7.7,93.0,6.1,0.0,8.8,21.547062,21.1,23.9
7.7,93.0,6.1,0.0,8.8,21.59577,21.1,23.9
7.85,91.25,5.975,0.0,4.4,21.585804,21.1,23.9
8.0,89.5,5.85,0.0,4.4,21.593729,21.1,23.9
8.15,87.75,5.725,0.0,4.4,21.610802,21.1,23.9
8.3,86.0,5.6,0.0,4.4,21.627333,21.1,23.9
8.15,86.0,5.85,0.0,8.8,21.6843,21.1,23.9
8.0,86.0,6.1,0.0,8.8,21.71294,21.1,23.9
7.85,86.0,6.35,0.0,8.8,21.726818,21.1,23.9
7.7,86.0,6.6,0.0,8.8,21.73667,21.1,23.9
7.575,86.0,6.75,0.0,11.0,21.732,21.1,23.9
7.45,86.0,6.9,0.0,11.0,21.731451,21.1,23.9
7.325,86.0,7.05,0.0,11.0,21.730247,21.1,23.9
7.2,86.0,7.2,0.0,11.0,21.722164,21.1,23.9
7.05,85.0,7.325,0.0,11.0,21.659372,21.1,23.9
6.9,84.0,7.45,0.0,11.0,21.602493,21.1,23.9
6.75,83.0,7.575,0.0,11.0,21.558807,21.1,23.9
6.6,82.0,7.7,0.0,11.0,21.51672,21.1,23.9
6.325,83.0,7.575,0.0,11.0,21.377201,21.1,23.9
6.05,84.0,7.45,0.0,11.0,21.259636,21.1,23.9
5.775,85.0,7.325,0.0,11.0,21.181097,21.1,23.9
5.5,86.0,7.2,0.0,11.0,21.112234,21.1,23.9
5.225,86.75,7.05,0.0,11.0,21.1016,21.1,23.9
4.95,87.5,6.9,0.0,11.0,21.099976,21.1,23.9
4.675,88.25,6.75,0.0,11.0,21.099754,21.1,23.9
4.4,89.0,6.6,0.0,11.0,21.099745,21.1,23.9
4.25,88.25,6.475,0.0,5.5,20.537598,12.8,40.0
4.1,87.5,6.35,0.0,5.5,20.073679,12.8,40.0
3.95,86.75,6.225,0.0,5.5,20.698084,12.8,40.0
3.8,86.0,6.1,0.0,5.5,21.069824,12.8,40.0
3.525,86.75,5.975,0.0,1.1,20.908087,12.8,40.0
3.25,87.5,5.85,0.0,1.1,20.671219,12.8,40.0
2.975,88.25,5.725,0.0,1.1,20.500467,12.8,40.0
2.7,89.0,5.6,0.0,1.1,20.357218,12.8,40.0
2.425,88.0,5.35,0.0,1.1,20.088066,12.8,40.0
2.15,87.0,5.1,0.0,1.1,19.852678,12.8,40.0
1.875,86.0,4.85,0.0,1.1,19.654144,12.8,40.0
1.6,85.0,4.6,0.0,1.1,19.479168,12.8,40.0
1.325,87.75,4.35,0.0,0.0,19.233871,12.8,40.0
1.05,90.5,4.1,0.0,0.0,18.992826,12.8,40.0
0.775,93.25,3.85,0.0,0.0,18.799503,12.8,40.0
0.5,96.0,3.6,0.0,0.0,18.618221,12.8,40.0
0.45,95.75,3.675,0.0,0.0,18.44077,12.8,40.0
0.4,95.5,3.75,0.0,0.0,18.26983,12.8,40.0
0.35,95.25,3.825,0.0,0.0,18.106699,12.8,40.0
0.3,95.0,3.9,0.0,0.0,17.950356,12.8,40.0
0.225,95.0,3.95,0.0,0.0,17.799417,12.8,40.0
0.15,95.0,4.0,0.0,0.0,17.653763,12.8,40.0
0.075,95.0,4.05,0.0,0.0,17.512867,12.8,40.0
0.0,95.0,4.1,0.0,0.0,17.376743,12.8,40.0
-0.15,94.0,4.875,0.0,0.0,17.234392,12.8,40.0
-0.3,93.0,5.65,0.0,0.0,17.088343,12.8,40.0
-0.45,92.0,6.425,0.0,0.0,16.941414,12.8,40.0
-0.6,91.0,7.2,0.0,0.0,16.794891,12.8,40.0
-0.875,91.0,7.2,0.0,0.0,16.65442,12.8,40.0
-1.15,91.0,7.2,0.0,0.0,16.518236,12.8,40.0
-1.425,91.0,7.2,0.0,0.0,16.384672,12.8,40.0
-1.7,91.0,7.2,0.0,0.0,16.253193,12.8,40.0
-1.975,90.0,7.325,0.0,0.0,16.122221,12.8,40.0
-2.25,89.0,7.45,0.0,0.0,15.991823,12.8,40.0
-2.525,88.0,7.575,0.0,0.0,15.862369,12.8,40.0
-2.8,87.0,7.7,0.0,0.0,15.766942,12.8,40.0
-2.95,85.0,7.425,0.0,0.0,15.690322,12.8,40.0
-3.1,83.0,7.15,0.0,0.0,15.6224,12.8,40.0
-3.25,81.0,6.875,0.0,0.0,15.561082,12.8,40.0
-3.4,79.0,6.6,0.0,0.0,15.506026,12.8,40.0
-3.8,77.75,6.6,0.0,0.0,15.446397,12.8,40.0
-4.2,76.5,6.6,0.0,0.0,15.383797,12.8,40.0
-4.6,75.25,6.6,0.0,0.0,15.321007,12.8,40.0
-5.0,74.0,6.6,0.0,0.0,15.25875,12.8,40.0
-5.425,74.25,7.0,0.0,0.0,15.191263,12.8,40.0
-5.85,74.5,7.4,0.0,0.0,15.119744,12.8,40.0
-6.275,74.75,7.8,0.0,0.0,15.04603,12.8,40.0
-6.7,75.0,8.2,0.0,0.0,14.97074,12.8,40.0
-6.85,73.25,7.675,0.0,0.0,14.712342,12.8,40.0
-7.0,71.5,7.15,0.0,0.0,14.53245,12.8,40.0
-7.15,69.75,6.625,0.0,0.0,14.42217,12.8,40.0
-7.3,68.0,6.1,0.0,0.0,14.3371,12.8,40.0
-7.3,68.0,6.75,0.0,0.0,16.306862,21.1,23.9
-7.3,68.0,7.4,0.0,0.0,17.827011,21.1,23.9
-7.3,68.0,8.05,0.0,0.0,18.50553,21.1,23.9
-7.3,68.0,8.7,4.5,0.0,19.20761,21.1,23.9
-7.425,66.25,8.825,6.75,11.0,20.234097,21.1,23.9
-7.55,64.5,8.95,9.0,11.0,21.03398,21.1,23.9
-7.675,62.75,9.075,6.75,11.0,21.096886,21.1,23.9
-7.8,61.0,9.2,4.5,11.0,21.10081,21.1,23.9
-7.8,64.25,8.825,2.25,11.0,21.10091,21.1,23.9
-7.8,67.5,8.45,0.0,11.0,21.10073,21.1,23.9
-7.8,70.75,8.075,9.0,11.0,21.100567,21.1,23.9
-7.8,74.0,7.7,18.0,11.0,21.100426,21.1,23.9
-7.8,77.0,7.05,27.0,11.0,21.100279,21.1,23.9
-7.8,80.0,6.4,36.0,11.0,21.100117,21.1,23.9
-7.8,83.0,5.75,30.25,11.0,21.100037,21.1,23.9
-7.8,86.0,5.1,24.5,11.0,21.099981,21.1,23.9
-7.95,79.75,6.0,18.75,8.8,21.100025,21.1,23.9
-8.1,73.5,6.9,13.0,8.8,21.100042,21.1,23.9
-8.25,67.25,7.8,160.5,8.8,21.099838,21.1,23.9
-8.4,61.0,8.7,308.0,8.8,21.308573,21.1,23.9
-8.25,61.0,8.05,455.5,4.4,21.832962,21.1,23.9
-8.1,61.0,7.4,603.0,4.4,22.556427,21.1,23.9
-7.95,61.0,6.75,573.25,4.4,23.255356,21.1,23.9
-7.8,61.0,6.1,543.5,4.4,23.649961,21.1,23.9
-7.525,61.0,6.375,513.75,8.8,23.896612,21.1,23.9
-7.25,61.0,6.65,484.0,8.8,24.06329,21.1,23.9
-6.975,61.0,6.925,389.5,8.8,24.10161,21.1,23.9
-6.7,61.0,7.2,295.0,8.8,23.937952,21.1,23.9
-6.7,61.0,7.45,200.5,11.0,23.73417,21.1,23.9
-6.7,61.0,7.7,106.0,11.0,23.418873,21.1,23.9
-6.7,61.0,7.95,90.75,11.0,23.05544,21.1,23.9
-6.7,61.0,8.2,75.5,11.0,22.706553,21.1,23.9
-6.7,61.75,7.95,60.25,11.0,22.30254,21.1,23.9
-6.7,62.5,7.7,45.0,11.0,21.925615,21.1,23.9
-6.7,63.25,7.45,34.5,11.0,21.614258,21.1,23.9
-6.7,64.0,7.2,24.0,11.0,21.342363,21.1,23.9
-6.85,65.75,7.2,13.5,11.0,21.13724,21.1,23.9
-7.0,67.5,7.2,3.0,11.0,21.105772,21.1,23.9
-7.15,69.25,7.2,2.25,11.0,21.10097,21.1,23.9
-7.3,71.0,7.2,0.0,11.0,21.10034,21.1,23.9
-7.3,68.5,7.325,0.0,11.0,21.10036,21.1,23.9
-7.3,66.0,7.45,0.0,11.0,21.10042,21.1,23.9
-7.3,63.5,7.575,0.0,11.0,21.100403,21.1,23.9
-7.3,61.0,7.7,0.0,11.0,21.100433,21.1,23.9
-7.425,61.75,7.575,0.0,5.5,20.671875,12.8,40.0
-7.55,62.5,7.45,0.0,5.5,20.2525,12.8,40.0
-7.675,63.25,7.325,0.0,5.5,19.99432,12.8,40.0
-7.8,64.0,7.2,0.0,5.5,19.824648,12.8,40.0
-7.95,65.0,6.425,0.0,1.1,19.415037,12.8,40.0
-8.1,66.0,5.65,0.0,1.1,18.973886,12.8,40.0
-8.25,67.0,4.875,0.0,1.1,18.688953,12.8,40.0
