Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
1.3,92.0,1.3,0.0,0.0,17.80062,12.8,40.0
2.225,92.5,0.975,0.0,0.0,17.700146,12.8,40.0
3.15,93.0,0.65,0.0,0.0,17.623068,12.8,40.0
4.075,93.5,0.325,0.0,0.0,17.381227,12.8,40.0
5.0,94.0,0.0,0.0,0.0,17.174927,12.8,40.0
5.125,93.75,0.0,0.0,0.0,17.05961,12.8,40.0
5.25,93.5,0.0,0.0,0.0,16.989943,12.8,40.0
5.375,93.25,0.0,0.0,0.0,16.93164,12.8,40.0
5.5,93.0,0.0,0.0,0.0,16.879698,12.8,40.0
5.625,93.5,0.0,0.0,0.0,16.838673,12.8,40.0
5.75,94.0,0.0,0.0,0.0,16.803095,12.8,40.0
5.875,94.5,0.0,0.0,0.0,16.773092,12.8,40.0
6.0,95.0,0.0,0.0,0.0,16.748762,12.8,40.0
6.125,94.5,0.0,0.0,0.0,16.728674,12.8,40.0
6.25,94.0,0.0,0.0,0.0,16.712193,12.8,40.0
6.375,93.5,0.0,0.0,0.0,16.699022,12.8,40.0
6.5,93.0,0.0,0.0,0.0,16.689007,12.8,40.0
6.625,93.0,0.0,0.0,0.0,16.682245,12.8,40.0
6.75,93.0,0.0,0.0,0.0,16.678413,12.8,40.0
6.875,93.0,0.0,0.0,0.0,16.676943,12.8,40.0
7.0,93.0,0.0,0.0,0.0,16.677639,12.8,40.0
6.75,94.75,0.65,0.0,0.0,16.667036,12.8,40.0
6.5,96.5,1.3,0.0,0.0,16.646898,12.8,40.0
6.25,98.25,1.95,0.0,0.0,16.621414,12.8,40.0
6.0,100.0,2.6,0.0,0.0,16.592268,12.8,40.0
6.0,96.75,2.6,0.0,0.0,16.524029,12.8,40.0
6.0,93.5,2.6,0.0,0.0,16.488724,12.8,40.0
6.0,90.25,2.6,0.0,0.0,16.466808,12.8,40.0
6.0,87.0,2.6,0.0,0.0,16.446346,12.8,40.0
5.75,88.5,2.6,0.0,0.0,17.773252,21.1,23.9
5.5,90.0,2.6,0.0,0.0,18.693794,21.1,23.9
5.25,91.5,2.6,0.0,0.0,19.304344,21.1,23.9
5.0,93.0,2.6,0.0,0.0,19.70034,21.1,23.9
4.75,93.0,2.6,151.5,11.0,20.76631,21.1,23.9
4.5,93.0,2.6,202.0,11.0,21.084015,21.1,23.9
4.25,93.0,2.6,274.0,11.0,21.099712,21.1,23.9
4.0,93.0,2.6,346.0,11.0,21.100039,21.1,23.9
4.0,93.0,2.6,418.0,11.0,21.281435,21.1,23.9
4.0,93.0,2.6,490.0,11.0,21.669508,21.1,23.9
4.0,93.0,2.6,497.0,11.0,22.096493,21.1,23.9
4.0,93.0,2.6,504.0,11.0,22.563953,21.1,23.9
4.0,91.5,2.6,511.0,11.0,23.149801,21.1,23.9
4.0,90.0,2.6,518.0,11.0,23.59384,21.1,23.9
4.0,88.5,2.6,511.25,11.0,24.169336,21.1,23.9
4.0,87.0,2.6,504.5,11.0,24.616993,21.1,23.9
3.75,88.5,2.6,497.75,8.8,24.992622,21.1,23.9
3.5,90.0,2.6,491.0,8.8,25.36135,21.1,23.9
3.25,91.5,2.6,454.75,8.8,25.673803,21.1,23.9
3.0,93.0,2.6,418.5,8.8,25.923775,21.1,23.9
3.0,91.5,2.85,382.25,4.4,25.96892,21.1,23.9
3.0,90.0,3.1,346.0,4.4,25.99904,21.1,23.9
3.0,88.5,3.35,330.25,4.4,26.026146,21.1,23.9
3.0,87.0,3.6,314.5,4.4,26.051992,21.1,23.9
3.0,87.0,3.35,298.75,8.8,26.250114,21.1,23.9
3.0,87.0,3.1,283.0,8.8,26.413082,21.1,23.9
3.0,87.0,2.85,283.75,8.8,26.542349,21.1,23.9
3.0,87.0,2.6,284.5,8.8,26.692528,21.1,23.9
3.0,87.0,2.975,285.25,11.0,26.867369,21.1,23.9
3.0,87.0,3.35,286.0,11.0,27.02327,21.1,23.9
3.0,87.0,3.725,271.75,11.0,27.106562,21.1,23.9
3.0,87.0,4.1,257.5,11.0,27.13452,21.1,23.9
3.25,82.5,3.85,243.25,11.0,27.112242,21.1,23.9
3.5,78.0,3.6,229.0,11.0,27.121948,21.1,23.9
3.75,73.5,3.35,171.75,11.0,26.924204,21.1,23.9
4.0,69.0,3.1,114.5,11.0,26.41691,21.1,23.9
3.75,70.25,3.35,57.25,11.0,25.526575,21.1,23.9
3.5,71.5,3.6,0.0,11.0,24.442404,21.1,23.9
3.25,72.75,3.85,0.0,11.0,23.85343,21.1,23.9
3.0,74.0,4.1,0.0,11.0,23.401299,21.1,23.9
3.0,74.0,3.975,0.0,11.0,22.873465,21.1,23.9
3.0,74.0,3.85,0.0,11.0,22.582243,21.1,23.9
3.0,74.0,3.725,0.0,11.0,22.333035,21.1,23.9
3.0,74.0,3.6,0.0,11.0,22.119787,21.1,23.9
2.85,76.25,3.6,0.0,5.5,22.479599,12.8,40.0
2.7,78.5,3.6,0.0,5.5,22.596786,12.8,40.0
2.55,80.75,3.6,0.0,5.5,22.537254,12.8,40.0
2.4,83.0,3.6,0.0,5.5,22.437902,12.8,40.0
2.3,85.5,3.6,0.0,1.1,22.088312,12.8,40.0
2.2,88.0,3.6,0.0,1.1,21.698149,12.8,40.0
2.1,90.5,3.6,0.0,1.1,21.405174,12.8,40.0
2.0,93.0,3.6,0.0,1.1,21.188328,12.8,40.0
1.75,91.25,2.7,0.0,1.1,20.889198,12.8,40.0
1.5,89.5,1.8,0.0,1.1,20.526112,12.8,40.0
1.25,87.75,0.9,0.0,1.1,20.273201,12.8,40.0
1.0,86.0,0.0,0.0,1.1,20.085684,12.8,40.0
1.0,87.75,0.525,0.0,0.0,19.823084,12.8,40.0
1.0,89.5,1.05,0.0,0.0,19.55313,12.8,40.0
1.0,91.25,1.575,0.0,0.0,19.286842,12.8,40.0
1.0,93.0,2.1,0.0,0.0,19.056602,12.8,40.0
1.0,93.0,1.95,0.0,0.0,18.861094,12.8,40.0
1.0,93.0,1.8,0.0,0.0,18.689787,12.8,40.0
1.0,93.0,1.65,0.0,0.0,18.514694,12.8,40.0
1.0,93.0,1.5,0.0,0.0,18.355425,12.8,40.0
1.075,92.75,1.45,0.0,0.0,18.206604,12.8,40.0
1.15,92.5,1.4,0.0,0.0,18.064648,12.8,40.0
1.225,92.25,1.35,0.0,0.0,17.929296,12.8,40.0
1.3,92.0,1.3,0.0,0.0,17.80062,12.8,40.0
1.35,91.75,1.225,0.0,0.0,17.67823,12.8,40.0
1.4,91.5,1.15,0.0,0.0,17.561968,12.8,40.0
1.45,91.25,1.075,0.0,0.0,17.451403,12.8,40.0
1.5,91.0,1.0,0.0,0.0,17.34625,12.8,40.0
1.475,91.25,0.95,0.0,0.0,17.244474,12.8,40.0
1.45,91.5,0.9,0.0,0.0,17.146051,12.8,40.0
1.425,91.75,0.85,0.0,0.0,17.051334,12.8,40.0
1.4,92.0,0.8,0.0,0.0,16.960352,12.8,40.0
1.45,91.75,0.725,0.0,0.0,16.87475,12.8,40.0
1.5,91.5,0.65,0.0,0.0,16.79417,12.8,40.0
1.55,91.25,0.575,0.0,0.0,16.717903,12.8,40.0
1.6,91.0,0.5,0.0,0.0,16.645575,12.8,40.0
1.5,91.25,0.45,0.0,0.0,16.573706,12.8,40.0
1.4,91.5,0.4,0.0,0.0,16.502426,12.8,40.0
1.3,91.75,0.35,0.0,0.0,16.432627,12.8,40.0
1.2,92.0,0.3,0.0,0.0,16.364609,12.8,40.0
1.15,92.25,0.225,0.0,0.0,16.29965,12.8,40.0
1.1,92.5,0.15,0.0,0.0,16.237522,12.8,40.0
1.05,92.75,0.075,0.0,0.0,16.19776,12.8,40.0
1.0,93.0,0.0,0.0,0.0,16.163805,12.8,40.0
1.0,93.0,0.0,0.0,0.0,16.130363,12.8,40.0
1.0,93.0,0.0,0.0,0.0,16.098684,12.8,40.0
1.0,93.0,0.0,0.0,0.0,16.069609,12.8,40.0
1.0,93.0,0.0,0.0,0.0,16.043,12.8,40.0
1.25,93.0,0.0,0.0,0.0,15.943551,12.8,40.0
1.5,93.0,0.0,0.0,0.0,15.885319,12.8,40.0
1.75,93.0,0.0,0.0,0.0,15.855318,12.8,40.0
2.0,93.0,0.0,0.0,0.0,15.8347025,12.8,40.0
1.75,93.0,0.0,0.0,0.0,17.162933,21.1,23.9
1.5,93.0,0.0,0.0,0.0,18.077257,21.1,23.9
1.25,93.0,0.0,0.0,0.0,18.686672,21.1,23.9
1.0,93.0,0.0,0.0,0.0,19.083616,21.1,23.9
1.0,93.0,0.0,57.75,11.0,20.039244,21.1,23.9
1.0,93.0,0.0,77.0,11.0,20.934309,21.1,23.9
1.0,93.0,0.0,126.75,11.0,21.091513,21.1,23.9
1.0,93.0,0.0,176.5,11.0,21.099863,21.1,23.9
1.25,89.75,0.525,226.25,11.0,21.099934,21.1,23.9
1.5,86.5,1.05,276.0,11.0,21.210957,21.1,23.9
1.75,83.25,1.575,293.75,11.0,21.462257,21.1,23.9
2.0,80.0,2.1,311.5,11.0,21.833523,21.1,23.9
2.25,81.75,1.575,329.25,11.0,22.20561,21.1,23.9
