Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
4.0,69.0,3.1,0.0,0.0,17.379978,12.8,40.0
4.4,65.0,3.875,0.0,0.0,17.248121,12.8,40.0
4.8,61.0,4.65,0.0,0.0,17.14376,12.8,40.0
5.2,57.0,5.425,0.0,0.0,17.058933,12.8,40.0
5.6,53.0,6.2,0.0,0.0,16.989407,12.8,40.0
5.35,54.25,6.05,0.0,0.0,16.918953,12.8,40.0
5.1,55.5,5.9,0.0,0.0,16.851847,12.8,40.0
4.85,56.75,5.75,0.0,0.0,16.791018,12.8,40.0
4.6,58.0,5.6,0.0,0.0,16.733131,12.8,40.0
4.375,59.5,5.2,0.0,0.0,16.682781,12.8,40.0
4.15,61.0,4.8,0.0,0.0,16.63884,12.8,40.0
3.925,62.5,4.4,0.0,0.0,16.748981,12.8,40.0
3.7,64.0,4.0,0.0,0.0,16.774237,12.8,40.0
3.325,65.5,3.75,0.0,0.0,16.747314,12.8,40.0
2.95,67.0,3.5,0.0,0.0,16.710678,12.8,40.0
2.575,68.5,3.25,0.0,0.0,16.66948,12.8,40.0
2.2,70.0,3.0,0.0,0.0,16.62247,12.8,40.0
1.95,71.0,2.975,0.0,0.0,16.57192,12.8,40.0
1.7,72.0,2.95,0.0,0.0,16.518906,12.8,40.0
1.45,73.0,2.925,0.0,0.0,16.46363,12.8,40.0
1.2,74.0,2.9,0.0,0.0,16.40631,12.8,40.0
1.1,75.0,2.775,0.0,0.0,16.351646,12.8,40.0
1.0,76.0,2.65,0.0,0.0,16.298674,12.8,40.0
0.9,77.0,2.525,0.0,0.0,16.24631,12.8,40.0
0.8,78.0,2.4,0.0,0.0,16.194435,12.8,40.0
0.975,76.75,2.5,0.0,0.0,16.043043,12.8,40.0
1.15,75.5,2.6,0.0,0.0,15.960589,12.8,40.0
1.325,74.25,2.7,0.0,0.0,15.914169,12.8,40.0
1.5,73.0,2.8,0.0,0.0,15.876747,12.8,40.0
1.25,73.0,2.925,0.0,0.0,16.928423,21.1,23.9
1.0,73.0,3.05,133.0,0.0,17.688261,21.1,23.9
0.75,73.0,3.175,242.5,0.0,18.070007,21.1,23.9
0.5,73.0,3.3,352.0,0.0,18.390003,21.1,23.9
1.8,67.75,3.3,461.5,11.0,19.432146,21.1,23.9
3.1,62.5,3.3,571.0,11.0,20.19621,21.1,23.9
4.4,57.25,3.3,605.75,11.0,20.811636,21.1,23.9
5.7,52.0,3.3,640.5,11.0,21.091904,21.1,23.9
6.0,50.75,3.65,675.25,11.0,21.099714,21.1,23.9
6.3,49.5,4.0,710.0,11.0,21.099855,21.1,23.9
6.6,48.25,4.35,707.75,11.0,21.243187,21.1,23.9
6.9,47.0,4.7,705.5,11.0,21.476557,21.1,23.9
7.65,46.25,5.1,703.25,11.0,21.88098,21.1,23.9
8.4,45.5,5.5,701.0,11.0,22.336693,21.1,23.9
9.15,44.75,5.9,748.75,11.0,22.81606,21.1,23.9
9.9,44.0,6.3,796.5,11.0,23.303585,21.1,23.9
10.625,41.5,6.4,844.25,8.8,23.791735,21.1,23.9
11.35,39.0,6.5,892.0,8.8,23.891985,21.1,23.9
12.075,36.5,6.6,846.75,8.8,23.898796,21.1,23.9
12.8,34.0,6.7,801.5,8.8,23.899351,21.1,23.9
13.125,33.25,6.7,756.25,4.4,23.89962,21.1,23.9
13.45,32.5,6.7,711.0,4.4,23.972069,21.1,23.9
13.775,31.75,6.7,776.25,4.4,24.22636,21.1,23.9
14.1,31.0,6.7,841.5,4.4,24.592405,21.1,23.9
14.125,30.75,6.15,906.75,8.8,25.177738,21.1,23.9
14.15,30.5,5.6,972.0,8.8,25.754694,21.1,23.9
14.175,30.25,5.05,973.75,8.8,26.267395,21.1,23.9
14.2,30.0,4.5,975.5,8.8,26.783192,21.1,23.9
14.4,29.75,4.375,977.25,11.0,27.337694,21.1,23.9
14.6,29.5,4.25,979.0,11.0,27.888792,21.1,23.9
14.8,29.25,4.125,967.5,11.0,28.41449,21.1,23.9
15.0,29.0,4.0,956.0,11.0,28.925146,21.1,23.9
15.025,29.25,3.875,944.5,11.0,29.37292,21.1,23.9
15.05,29.5,3.75,933.0,11.0,29.826923,21.1,23.9
15.075,29.75,3.625,921.0,11.0,30.26631,21.1,23.9
15.1,30.0,3.5,909.0,11.0,30.67329,21.1,23.9
15.0,30.0,3.475,897.0,11.0,30.953417,21.1,23.9
14.9,30.0,3.45,885.0,11.0,31.226038,21.1,23.9
14.8,30.0,3.425,663.75,11.0,30.781687,21.1,23.9
14.7,30.0,3.4,442.5,11.0,29.766603,21.1,23.9
14.175,31.25,3.15,221.25,11.0,28.299286,21.1,23.9
13.65,32.5,2.9,0.0,11.0,26.493017,21.1,23.9
13.125,33.75,2.65,0.0,11.0,25.351921,21.1,23.9
12.6,35.0,2.4,0.0,11.0,24.555222,21.1,23.9
12.225,36.5,2.5,0.0,5.5,24.861816,12.8,40.0
11.85,38.0,2.6,0.0,5.5,24.667166,12.8,40.0
11.475,39.5,2.7,0.0,5.5,24.237139,12.8,40.0
11.1,41.0,2.8,0.0,5.5,23.828644,12.8,40.0
11.0,41.0,2.8,0.0,1.1,23.353956,12.8,40.0
10.9,41.0,2.8,0.0,1.1,22.875576,12.8,40.0
10.8,41.0,2.8,0.0,1.1,22.460243,12.8,40.0
10.7,41.0,2.8,0.0,1.1,22.08456,12.8,40.0
10.475,42.0,2.375,0.0,1.1,21.586113,12.8,40.0
10.25,43.0,1.95,0.0,1.1,21.148228,12.8,40.0
10.025,44.0,1.525,0.0,1.1,20.804688,12.8,40.0
9.8,45.0,1.1,0.0,1.1,20.493395,12.8,40.0
9.25,47.0,1.5,0.0,0.0,20.120138,12.8,40.0
8.7,49.0,1.9,0.0,0.0,19.750381,12.8,40.0
8.15,51.0,2.3,0.0,0.0,19.418226,12.8,40.0
7.6,53.0,2.7,0.0,0.0,19.105198,12.8,40.0
7.25,54.25,2.675,0.0,0.0,18.823402,12.8,40.0
6.9,55.5,2.65,0.0,0.0,18.568024,12.8,40.0
6.55,56.75,2.625,0.0,0.0,18.332222,12.8,40.0
6.2,58.0,2.6,0.0,0.0,18.114698,12.8,40.0
5.65,60.75,2.725,0.0,0.0,17.905655,12.8,40.0
5.1,63.5,2.85,0.0,0.0,17.710505,12.8,40.0
4.55,66.25,2.975,0.0,0.0,17.53802,12.8,40.0
4.0,69.0,3.1,0.0,0.0,17.379978,12.8,40.0
3.75,70.25,2.85,0.0,0.0,17.7519,12.8,40.0
3.5,71.5,2.6,0.0,0.0,17.882645,12.8,40.0
3.25,72.75,2.35,0.0,0.0,17.85192,12.8,40.0
3.0,74.0,2.1,0.0,0.0,17.80272,12.8,40.0
3.25,72.75,2.35,0.0,0.0,17.761536,12.8,40.0
3.5,71.5,2.6,0.0,0.0,17.712162,12.8,40.0
3.75,70.25,2.85,0.0,0.0,17.656816,12.8,40.0
4.0,69.0,3.1,0.0,0.0,17.294725,12.8,40.0
4.0,67.75,2.45,0.0,0.0,17.02058,12.8,40.0
4.0,66.5,1.8,0.0,0.0,16.909538,12.8,40.0
4.0,65.25,1.15,0.0,0.0,16.853088,12.8,40.0
4.0,64.0,0.5,0.0,0.0,16.803312,12.8,40.0
4.25,61.75,1.15,0.0,0.0,16.755032,12.8,40.0
4.5,59.5,1.8,0.0,0.0,16.710308,12.8,40.0
4.75,57.25,2.45,0.0,0.0,16.671074,12.8,40.0
5.0,55.0,3.1,0.0,0.0,16.637573,12.8,40.0
4.75,56.0,2.575,0.0,0.0,16.607426,12.8,40.0
4.5,57.0,2.05,0.0,0.0,16.579933,12.8,40.0
4.25,58.0,1.525,0.0,0.0,16.55499,12.8,40.0
4.0,59.0,1.0,0.0,0.0,16.532473,12.8,40.0
4.0,59.0,1.125,0.0,0.0,16.511654,12.8,40.0
4.0,59.0,1.25,0.0,0.0,16.49247,12.8,40.0
4.0,59.0,1.375,0.0,0.0,16.474693,12.8,40.0
4.0,59.0,1.5,0.0,0.0,16.458324,12.8,40.0
4.5,57.0,1.65,0.0,0.0,16.355215,12.8,40.0
5.0,55.0,1.8,0.0,0.0,16.317436,12.8,40.0
5.5,53.0,1.95,0.0,0.0,16.3118,12.8,40.0
6.0,51.0,2.1,0.0,0.0,16.314074,12.8,40.0
6.0,51.0,2.35,0.0,0.0,17.40186,21.1,23.9
6.0,51.0,2.6,179.0,0.0,18.126995,21.1,23.9
6.0,51.0,2.85,309.5,0.0,18.622633,21.1,23.9
6.0,51.0,3.1,440.0,0.0,18.994165,21.1,23.9
7.5,46.0,2.85,570.5,11.0,20.01652,21.1,23.9
9.0,41.0,2.6,701.0,11.0,20.783613,21.1,23.9
10.5,36.0,2.35,727.0,11.0,21.078981,21.1,23.9
12.0,31.0,2.1,753.0,11.0,21.099499,21.1,23.9
12.75,28.75,2.35,779.0,11.0,21.524977,21.1,23.9
13.5,26.5,2.6,805.0,11.0,22.085228,21.1,23.9
14.25,24.25,2.85,793.5,11.0,22.693878,21.1,23.9
15.0,22.0,3.1,782.0,11.0,23.441084,21.1,23.9
15.5,20.5,2.85,770.5,11.0,23.889143,21.1,23.9
16.0,19.0,2.6,759.0,11.0,23.898193,21.1,23.9
16.5,17.5,2.35,775.75,11.0,23.899033,21.1,23.9
17.0,16.0,2.1,792.5,11.0,23.89935,21.1,23.9
17.25,15.75,2.225,809.25,8.8,23.969725,21.1,23.9
17.5,15.5,2.35,826.0,8.8,24.177084,21.1,23.9
17.75,15.25,2.475,840.75,8.8,24.479588,21.1,23.9
18.0,15.0,2.6,855.5,8.8,24.909964,21.1,23.9
18.25,14.5,2.6,870.25,4.4,25.17531,21.1,23.9
18.5,14.0,2.6,885.0,4.4,25.540174,21.1,23.9
18.75,13.5,2.6,888.5,4.4,26.005764,21.1,23.9
19.0,13.0,2.6,892.0,4.4,26.510298,21.1,23.9
19.5,12.5,2.725,895.5,8.8,28.313202,21.1,23.9
20.0,12.0,2.85,899.0,8.8,29.544239,21.1,23.9
20.5,11.5,2.975,832.5,8.8,30.51091,21.1,23.9
21.0,11.0,3.1,766.0,8.8,31.327852,21.1,23.9
20.75,11.0,2.7,699.5,11.0,32.10217,21.1,23.9
20.5,11.0,2.3,633.0,11.0,32.538517,21.1,23.9
20.25,11.0,1.9,677.5,11.0,33.205807,21.1,23.9
20.0,11.0,1.5,722.0,11.0,33.998962,21.1,23.9
20.25,11.0,1.5,766.5,11.0,34.75492,21.1,23.9
20.5,11.0,1.5,811.0,11.0,35.58437,21.1,23.9
20.75,11.0,1.5,770.5,11.0,36.22238,21.1,23.9
