Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1)
-10.6,36.0,8.8,0.0,0.0,14.608657,12.8,40.0
-9.05,43.25,8.4,0.0,0.0,14.573951,12.8,40.0
-7.5,50.5,8.0,0.0,0.0,14.584668,12.8,40.0
-5.95,57.75,7.6,0.0,0.0,14.622726,12.8,40.0
-4.4,65.0,7.2,0.0,0.0,14.680993,12.8,40.0
-4.4,65.75,6.7,0.0,0.0,14.71946,12.8,40.0
-4.4,66.5,6.2,0.0,0.0,14.744752,12.8,40.0
-4.4,67.25,5.7,0.0,0.0,14.768065,12.8,40.0
-4.4,68.0,5.2,0.0,0.0,14.7924385,12.8,40.0
-4.275,66.5,5.575,0.0,0.0,14.809196,12.8,40.0
-4.15,65.0,5.95,0.0,0.0,14.820218,12.8,40.0
-4.025,63.5,6.325,0.0,0.0,14.8288765,12.8,40.0
-3.9,62.0,6.7,0.0,0.0,14.836308,12.8,40.0
-3.75,60.5,6.825,0.0,0.0,14.8459635,12.8,40.0
-3.6,59.0,6.95,0.0,0.0,14.856938,12.8,40.0
-3.45,57.5,7.075,0.0,0.0,14.86859,12.8,40.0
-3.3,56.0,7.2,0.0,0.0,14.880389,12.8,40.0
-3.3,56.75,7.725,0.0,0.0,14.883376,12.8,40.0
-3.3,57.5,8.25,0.0,0.0,14.879784,12.8,40.0
-3.3,58.25,8.775,0.0,0.0,14.872812,12.8,40.0
-3.3,59.0,9.3,0.0,0.0,14.863624,12.8,40.0
-3.45,59.75,8.65,0.0,0.0,14.862988,12.8,40.0
-3.6,60.5,8.0,0.0,0.0,14.868089,12.8,40.0
-3.75,61.25,7.35,0.0,0.0,14.875397,12.8,40.0
-3.9,62.0,6.7,0.0,0.0,14.88391,12.8,40.0
-4.025,63.5,6.575,0.0,0.0,14.683959,12.8,40.0
-4.15,65.0,6.45,0.0,0.0,14.545365,12.8,40.0
-4.275,66.5,6.325,0.0,0.0,14.469995,12.8,40.0
-4.4,68.0,6.2,0.0,0.0,14.4150505,12.8,40.0
-4.125,65.75,6.85,0.0,0.0,16.22893,21.1,23.9
-3.85,63.5,7.5,98.0,0.0,17.669746,21.1,23.9
-3.575,61.25,8.15,159.75,0.0,18.407034,21.1,23.9
-3.3,59.0,8.8,221.5,0.0,19.038515,21.1,23.9
-3.175,56.5,8.925,283.25,11.0,20.225857,21.1,23.9
-3.05,54.0,9.05,345.0,11.0,21.05973,21.1,23.9
-2.925,51.5,9.175,403.0,11.0,21.098948,21.1,23.9
-2.8,49.0,9.3,461.0,11.0,21.100199,21.1,23.9
-2.65,46.25,9.55,519.0,11.0,21.100065,21.1,23.9
-2.5,43.5,9.8,577.0,11.0,21.099924,21.1,23.9
-2.35,40.75,10.05,558.0,11.0,21.113817,21.1,23.9
-2.2,38.0,10.3,539.0,11.0,21.306793,21.1,23.9
-1.925,37.25,10.175,520.0,11.0,21.632265,21.1,23.9
-1.65,36.5,10.05,501.0,11.0,21.97334,21.1,23.9
-1.375,35.75,9.925,410.5,11.0,22.246752,21.1,23.9
-1.1,35.0,9.8,320.0,11.0,22.350975,21.1,23.9
-1.25,34.5,9.55,229.5,8.8,22.412664,21.1,23.9
-1.4,34.0,9.3,139.0,8.8,22.414015,21.1,23.9
-1.55,33.5,9.05,191.0,8.8,22.54749,21.1,23.9
-1.7,33.0,8.8,243.0,8.8,22.819822,21.1,23.9
-1.825,32.75,8.925,295.0,4.4,23.191458,21.1,23.9
-1.95,32.5,9.05,347.0,4.4,23.735378,21.1,23.9
-2.075,32.25,9.175,260.25,4.4,23.891657,21.1,23.9
-2.2,32.0,9.3,173.5,4.4,23.629711,21.1,23.9
-2.475,35.5,8.9,86.75,8.8,23.155422,21.1,23.9
-2.75,39.0,8.5,0.0,8.8,22.492645,21.1,23.9
-3.025,42.5,8.1,65.0,8.8,22.338474,21.1,23.9
-3.3,46.0,7.7,130.0,8.8,22.429829,21.1,23.9
-3.175,42.5,8.225,195.0,11.0,22.764103,21.1,23.9
-3.05,39.0,8.75,260.0,11.0,23.331575,21.1,23.9
-2.925,35.5,9.275,208.5,11.0,23.56995,21.1,23.9
-2.8,32.0,9.8,157.0,11.0,23.41916,21.1,23.9
-2.8,30.0,9.275,105.5,11.0,23.098873,21.1,23.9
-2.8,28.0,8.75,54.0,11.0,22.604834,21.1,23.9
-2.8,26.0,8.225,53.75,11.0,22.313046,21.1,23.9
-2.8,24.0,7.7,53.5,11.0,22.15598,21.1,23.9
-3.35,26.75,8.1,53.25,11.0,21.878805,21.1,23.9
-3.9,29.5,8.5,53.0,11.0,21.601616,21.1,23.9
-4.45,32.25,8.9,0.0,11.0,21.132559,21.1,23.9
-5.0,35.0,9.3,0.0,11.0,21.101141,21.1,23.9
-5.15,33.75,9.675,0.0,11.0,21.10029,21.1,23.9
-5.3,32.5,10.05,0.0,11.0,21.100256,21.1,23.9
-5.45,31.25,10.425,0.0,11.0,21.100311,21.1,23.9
-5.6,30.0,10.8,0.0,11.0,21.100433,21.1,23.9
-5.725,30.25,10.425,0.0,5.5,20.76143,12.8,40.0
-5.85,30.5,10.05,0.0,5.5,20.414686,12.8,40.0
-5.975,30.75,9.675,0.0,5.5,20.179544,12.8,40.0
-6.1,31.0,9.3,0.0,5.5,20.027046,12.8,40.0
-6.25,31.5,9.8,0.0,1.1,19.588486,12.8,40.0
-6.4,32.0,10.3,0.0,1.1,19.11243,12.8,40.0
-6.55,32.5,10.8,0.0,1.1,18.785816,12.8,40.0
-6.7,33.0,11.3,0.0,1.1,18.465591,12.8,40.0
-7.1,30.5,11.175,0.0,1.1,18.038145,12.8,40.0
-7.5,28.0,11.05,0.0,1.1,17.64514,12.8,40.0
-7.9,25.5,10.925,0.0,1.1,17.325747,12.8,40.0
-8.3,23.0,10.8,0.0,1.1,17.03584,12.8,40.0
-8.575,23.75,9.9,0.0,0.0,16.745808,12.8,40.0
-8.85,24.5,9.0,0.0,0.0,16.364752,12.8,40.0
-9.125,25.25,8.1,0.0,0.0,16.086668,12.8,40.0
-9.4,26.0,7.2,0.0,0.0,15.840944,12.8,40.0
-9.55,26.75,7.725,0.0,0.0,15.622496,12.8,40.0
-9.7,27.5,8.25,0.0,0.0,15.382605,12.8,40.0
-9.85,28.25,8.775,0.0,0.0,15.205717,12.8,40.0
-10.0,29.0,9.3,0.0,0.0,15.049391,12.8,40.0
-10.15,30.75,9.175,0.0,0.0,14.917422,12.8,40.0
-10.3,32.5,9.05,0.0,0.0,14.803161,12.8,40.0
-10.45,34.25,8.925,0.0,0.0,14.70091,12.8,40.0
-10.6,36.0,8.8,0.0,0.0,14.608657,12.8,40.0
-10.725,36.75,8.525,0.0,0.0,14.52861,12.8,40.0
-10.85,37.5,8.25,0.0,0.0,14.458722,12.8,40.0
-10.975,38.25,7.975,0.0,0.0,14.397008,12.8,40.0
-11.1,39.0,7.7,0.0,0.0,14.342065,12.8,40.0
-11.25,39.75,7.075,0.0,0.0,14.298649,12.8,40.0
-11.4,40.5,6.45,0.0,0.0,14.264923,12.8,40.0
-11.55,41.25,5.825,0.0,0.0,14.238542,12.8,40.0
-11.7,42.0,5.2,0.0,0.0,14.218269,12.8,40.0
-11.7,42.5,4.55,0.0,0.0,14.206332,12.8,40.0
-11.7,43.0,3.9,0.0,0.0,14.201859,12.8,40.0
-11.7,43.5,3.25,0.0,0.0,14.20321,12.8,40.0
-11.7,44.0,2.6,0.0,0.0,14.209559,12.8,40.0
-11.7,44.5,2.6,0.0,0.0,14.208628,12.8,40.0
-11.7,45.0,2.6,0.0,0.0,14.202838,12.8,40.0
-11.7,45.5,2.6,0.0,0.0,14.195975,12.8,40.0
-11.7,46.0,2.6,0.0,0.0,14.189391,12.8,40.0
-11.825,47.25,2.6,0.0,0.0,14.180601,12.8,40.0
-11.95,48.5,2.6,0.0,0.0,14.1697645,12.8,40.0
-12.075,49.75,2.6,0.0,0.0,14.157795,12.8,40.0
-12.2,51.0,2.6,0.0,0.0,14.145157,12.8,40.0
-12.075,50.5,2.85,0.0,0.0,14.131871,12.8,40.0
